iter	Passed	Remaining
157	278	1486
158	279	1478
159	280	1470
160	280	1461
161	280	1453
162	281	1445
163	282	1439
164	283	1433
165	284	1427
166	284	1421
167	285	1415
168	286	1409
169	287	1402
170	287	1395
171	288	1388
172	288	1381
173	289	1374
174	290	1367
175	290	1360
176	291	1353
177	291	1347
178	292	1340
179	292	1333
180	293	1327
181	293	1320
182	294	1314
183	294	1308
184	295	1301
185	296	1295
186	296	1289
187	297	1285
188	299	1283
189	299	1278
190	300	1274
191	301	1269
192	302	1264
193	302	1258
194	303	1252
195	303	1246
196	304	1241
197	305	1235
198	305	1230
199	306	1224
200	306	1219
201	307	1213
202	307	1208
203	308	1203
204	308	1197
205	309	1192
206	309	1187
207	310	1182
208	311	1177
209	311	1172
210	312	1168
211	313	1165
212	314	1162
213	315	1158
214	316	1153
215	316	1149
216	317	1144
217	317	1139
218	318	1134
219	318	1130
220	319	1125
221	319	1121
222	320	1116
223	321	1112
224	321	1107
225	322	1103
226	322	1098
227	323	1094
228	323	1089
229	324	1085
230	324	1081
231	325	1076
232	325	1072
233	326	1068
234	327	1064
235	328	1061
236	328	1058
237	329	1054
238	329	1050
239	330	1046
240	331	1042
241	331	1038
242	332	1034
243	332	1030
244	333	1027
245	333	1023
246	334	1019
247	334	1015
248	335	1011
249	336	1008
250	336	1004
251	337	1000
252	337	997
253	338	993
254	338	989
255	339	986
256	339	982
257	340	979
258	341	976
259	341	973
260	342	970
261	343	968
262	344	965
263	344	961
264	345	958
265	346	955
266	346	951
267	347	948
268	347	945
269	348	941
270	348	938
271	349	935
272	350	932
273	350	929
274	351	925
275	351	922
276	352	919
277	352	916
278	353	913
279	354	910
280	354	907
281	355	904
282	355	901
283	356	898
284	356	895
285	357	892
286	358	890
287	359	887
288	359	885
289	360	882
290	360	879
291	361	876
292	361	873
293	362	870
294	363	867
295	363	865
296	364	862
297	364	859
298	365	856
299	365	853
300	366	851
301	367	848
302	367	845
303	368	842
304	368	840
305	369	837
306	370	835
307	370	833
308	371	830
309	371	827
310	372	825
311	373	823
312	374	821
313	374	818
314	375	816
315	375	813
316	376	811
317	377	808
318	377	806
319	378	803
320	378	801
321	379	798
322	379	796
323	380	793
324	381	791
325	381	788
326	382	786
327	382	784
328	383	781
329	384	779
330	384	777
331	385	775
332	386	773
333	386	770
334	387	768
335	387	766
336	388	764
337	389	762
338	390	760
339	390	758
340	391	757
341	392	755
342	393	753
343	393	750
344	394	748
345	394	746
346	395	744
347	396	741
348	396	739
349	397	737
350	397	735
351	398	732
352	398	730
353	399	728
354	399	726
355	400	724
356	400	722
357	401	720
358	402	717
359	402	715
360	403	714
361	404	712
362	405	711
363	406	709
364	406	707
365	407	705
366	407	703
367	408	701
368	409	699
369	409	697
370	410	695
371	410	693
372	411	691
373	411	689
374	412	687
375	413	685
376	413	683
377	414	681
378	414	679
379	415	677
380	415	675
381	416	673
382	416	671
383	417	669
384	417	667
385	418	666
386	419	664
387	420	663
388	421	661
389	421	659
390	422	657
391	422	656
392	423	654
393	424	652
394	424	650
395	425	648
396	425	646
397	426	644
398	426	642
399	427	641
400	427	639
401	428	637
402	429	635
403	429	633
404	430	631
405	430	630
406	431	628
407	431	626
408	432	624
409	432	623
410	433	621
411	434	620
412	435	618
413	436	617
414	436	615
415	437	613
416	437	612
417	438	610
418	438	608
419	439	606
420	440	605
421	440	603
422	441	601
423	441	599
424	442	598
425	442	596
426	443	594
427	443	593
428	444	591
429	444	589
430	445	588
431	445	586
432	446	584
433	447	583
434	447	581
435	448	579
436	448	578
437	449	577
438	450	576
439	451	574
440	452	573
441	453	572
442	453	570
443	454	569
444	455	567
445	455	565
446	456	564
447	456	562
448	457	561
449	457	559
450	458	558
451	458	556
452	459	554
453	460	553
454	460	551
455	461	550
456	461	548
457	462	547
458	462	545
459	463	544
460	464	543
461	465	542
462	466	541
463	467	539
464	467	538
465	468	536
466	469	535
467	469	533
468	470	532
469	470	530
470	471	529
471	471	527
472	472	526
473	472	524
474	473	523
475	474	521
476	474	520
477	475	518
478	475	517
479	476	515
480	476	514
481	477	512
482	477	511
483	478	510
484	479	509
485	480	508
486	481	507
487	482	506
488	483	504
489	483	503
490	484	502
491	485	500
492	485	499
493	486	498
494	486	496
495	487	495
496	487	493
497	488	492
498	488	490
499	489	489
500	490	488
501	490	486
502	491	485
503	491	483
504	492	482
505	492	481
506	493	479
507	494	478
508	494	477
509	495	476
510	496	475
511	497	473
512	497	472
513	498	471
514	499	469
515	499	468
516	500	467
517	500	465
518	501	464
519	501	463
520	502	461
521	502	460
522	503	459
523	503	457
524	504	456
525	505	455
526	505	453
527	506	452
528	506	451
529	507	450
530	508	448
531	508	447
532	509	446
533	510	445
534	511	444
535	512	443
536	513	442
537	513	441
538	514	440
539	515	438
540	516	437
541	516	436
542	517	435
543	518	434
544	519	433
545	520	432
546	520	431
547	521	430
548	522	429
549	522	427
550	523	426
551	524	425
552	525	424
553	525	423
554	526	422
555	527	421
556	528	420
557	529	419
558	530	418
559	530	417
560	531	415
561	532	415
562	533	414
563	534	413
564	535	411
565	535	410
566	536	409
567	537	408
568	537	407
569	538	406
570	539	405
571	539	403
572	540	403
573	541	402
574	542	401
575	543	400
576	544	398
577	544	397
578	545	396
579	545	395
580	546	394
581	547	392
582	547	391
583	548	390
584	548	389
585	549	388
586	549	386
587	550	385
588	550	384
589	551	383
590	551	381
591	552	380
592	553	379
593	553	378
594	554	377
595	555	376
596	556	375
597	557	374
598	557	373
599	558	372
600	558	370
601	559	369
602	559	368
603	560	367
604	560	366
605	561	365
606	562	363
607	562	362
608	563	361
609	563	360
610	564	359
611	564	358
612	565	356
613	566	355
614	566	354
615	567	353
616	567	352
617	568	351
618	568	350
619	569	349
620	570	347
621	571	347
622	571	346
623	572	344
624	573	343
625	573	342
626	574	341
627	574	340
628	575	339
629	575	338
630	576	337
631	576	335
632	577	334
633	578	333
634	578	332
635	579	331
636	579	330
637	580	329
638	580	328
639	581	327
640	582	325
641	582	324
642	583	323
643	583	322
644	584	321
645	584	320
646	585	319
647	586	318
648	587	317
649	588	316
650	589	315
651	589	314
652	590	313
653	591	312
654	591	311
655	592	310
656	592	309
657	593	308
658	593	307
659	594	306
660	595	305
661	595	304
662	596	302
663	596	301
664	597	300
665	597	299
666	598	298
667	599	297
668	599	296
669	600	295
670	601	294
671	602	293
672	602	292
673	603	291
674	603	290
675	604	289
676	605	288
677	605	287
678	606	286
679	606	285
680	607	284
681	608	283
682	608	282
683	609	281
684	609	280
685	610	279
686	610	278
687	611	277
688	612	276
689	613	275
690	613	274
691	614	273
692	614	272
693	615	271
694	615	270
695	617	269
696	617	268
697	618	267
698	619	266
699	620	265
700	620	264
701	621	263
702	621	262
703	622	261
704	622	260
705	623	259
706	624	258
707	624	257
708	625	256
709	625	255
710	626	254
711	626	253
712	627	252
713	628	251
714	628	250
715	629	249
716	629	248
717	630	247
718	630	246
719	631	245
720	632	244
721	633	243
722	633	242
723	634	241
724	634	240
725	635	239
726	636	238
727	636	237
728	637	236
729	637	235
730	638	234
731	638	233
732	639	232
733	639	231
734	640	230
735	640	229
736	641	228
737	642	227
738	642	226
739	643	225
740	643	224
741	644	223
742	644	223
743	645	222
744	645	221
745	646	220
746	647	219
747	648	218
748	648	217
749	649	216
750	650	215
751	650	214
752	651	213
753	651	212
754	652	211
755	652	210
756	653	209
757	653	208
758	654	207
759	655	206
760	655	205
761	656	204
762	656	203
763	657	203
764	657	202
765	658	201
766	659	200
767	659	199
768	660	198
769	660	197
770	661	196
771	662	195
772	663	194
773	664	193
774	664	192
775	665	192
776	665	191
777	666	190
778	666	189
779	667	188
780	667	187
781	668	186
782	669	185
783	669	184
784	670	183
785	670	182
786	671	181
787	671	180
788	672	179
789	672	178
790	673	177
791	674	177
792	674	176
793	675	175
794	675	174
795	676	173
796	677	172
797	678	171
798	679	170
799	679	169
800	680	169
801	681	168
802	682	167
803	683	166
804	683	165
805	684	164
806	684	163
807	685	162
808	685	161
809	686	161
810	687	160
811	687	159
812	688	158
813	688	157
814	689	156
815	689	155
816	690	154
817	691	153
818	691	152
819	692	151
820	693	151
821	694	150
822	695	149
823	695	148
824	696	147
825	696	146
826	697	145
827	697	144
828	698	144
829	699	143
830	699	142
831	700	141
832	700	140
833	701	139
834	701	138
835	702	137
836	703	136
837	703	136
838	704	135
839	704	134
840	705	133
841	705	132
842	706	131
843	707	130
844	708	129
845	709	129
846	709	128
847	710	127
848	710	126
849	711	125
850	711	124
851	712	123
852	713	122
853	713	122
854	714	121
855	714	120
856	715	119
857	715	118
858	716	117
859	716	116
860	717	115
861	718	114
862	718	114
863	719	113
864	719	112
865	720	111
866	721	110
867	721	109
868	722	108
869	723	108
870	724	107
871	725	106
872	725	105
873	726	104
874	727	103
875	727	103
876	728	102
877	729	101
878	729	100
879	730	99
880	730	98
881	731	97
882	731	96
883	732	96
884	732	95
885	733	94
886	734	93
887	735	92
888	735	91
889	736	91
890	736	90
891	737	89
892	738	88
893	739	87
894	739	86
895	740	85
896	741	85
897	741	84
898	742	83
899	742	82
900	743	81
901	743	80
902	744	79
903	744	79
904	745	78
905	746	77
906	747	76
907	747	75
908	748	74
909	748	74
910	749	73
911	750	72
912	750	71
913	751	70
914	751	69
915	752	68
916	752	68
917	753	67
918	754	66
919	755	65
920	756	64
921	756	64
922	757	63
923	758	62
924	759	61
925	759	60
926	760	59
927	761	59
928	761	58
929	762	57
930	762	56
931	763	55
932	763	54
933	764	54
934	764	53
935	765	52
936	765	51
937	766	50
938	767	49
939	767	49
940	768	48
941	769	47
942	771	46
943	772	45
944	773	44
945	773	44
946	774	43
947	775	42
948	775	41
949	776	40
950	777	40
951	777	39
952	778	38
953	778	37
954	779	36
955	779	35
956	780	35
957	780	34
958	781	33
959	781	32
960	782	31
961	783	30
962	784	30
963	785	29
964	786	28
965	786	27
966	787	26
967	787	26
968	788	25
969	789	24
970	789	23
971	790	22
972	790	21
973	791	21
974	791	20
975	792	19
976	792	18
977	793	17
978	794	17
979	794	16
980	795	15
981	795	14
982	796	13
983	796	12
984	797	12
985	798	11
986	799	10
987	800	9
988	801	8
989	801	8
990	802	7
991	802	6
992	803	5
993	803	4
994	804	4
995	805	3
996	805	2
997	806	1
998	806	0
999	807	0
